gene_id	log2foldchange	padjust	pvalue
A1	1	0.0001	0.05
A2	1	0.0001	0.05
A3	1	0.0001	0.05
A4	1	0.0001	0.05
A5	2	0.0001	0.05
A6	2	0.0001	0.05
A7	1	0.0001	0.05
A8	1	0.0001	0.05
A9	2	0.0001	0.05
A10	1	0.0001	0.05
A11	1	0.0001	0.05
A12	1	0.0001	0.05
A13	2	0.0001	0.05
A14	1	0.0001	0.05
A15	1	0.0001	0.05
A16	1	0.0001	0.05
A17	1	0.0001	0.05
A18	1	0.0001	0.05
A19	1	0.0001	0.05
A20	1	0.0001	0.05
A21	2	0.0001	0.05
A22	1	0.0001	0.05
A23	1	0.0001	0.05
A24	1	0.0001	0.05
A25	1	0.0001	0.05
A26	1	0.0001	0.05
A27	1	0.0001	0.05
A28	2	0.0001	0.05
A29	1	0.0001	0.05
A30	1	0.0001	0.05
A31	1	0.0001	0.05
A32	0.8	0.0001	0.05
A33	0.7	0.0001	0.05
A34	1	0.0001	0.05
A35	1	0.0001	0.05
A36	1	0.0001	0.05
A37	2	0.0001	0.05
A38	1	0.0001	0.05
A39	1	0.0001	0.05
A40	0.75	0.0001	0.05
A41	1	0.0001	0.05
A42	1	0.0001	0.05
A43	0.45	0.0001	0.05
A44	1	0.0001	0.05
A45	1	0.0001	0.05
A46	1	0.0001	0.05
A47	1	0.0001	0.05
A48	1	0.0001	0.05
A49	15	0.0001	0.05
A50	2	0.0001	0.05
A51	1	0.0001	0.05
A52	1	0.0001	0.05
A53	1	0.0001	0.05
A54	1	0.0001	0.05
A55	-1	0.0001	0.05
A56	-1	0.0001	0.05
A57	-1	0.0001	0.05
A58	-1	0.0001	0.05
A59	-1.5	0.0001	0.05
A60	-2.5	0.0001	0.05
A61	-3.2	0.0001	0.05
A62	-2.1	0.0001	0.05
A63	1	0.0001	0.05
A64	1	0.0001	0.05
A65	1	0.0001	0.05
A66	1	0.0001	0.05
A67	1	0.0001	0.05
A68	3	0.0001	0.05
A69	1	0.0001	0.05
A70	1	0.0001	0.05
A71	1	0.0001	0.05
A72	9	0.0001	0.05
A73	1	0.0001	0.05
A74	1	0.0001	0.05
A75	1	0.0001	0.05
A76	1	0.0001	0.05
A77	1	0.0001	0.05
A78	10	0.0001	0.05
A79	1	0.0001	0.05
A80	13	0.0001	0.05
A81	1	0.0001	0.05
A82	1	0.0001	0.05
A83	1	0.0001	0.05
A84	1	0.0001	0.05
A85	1	0.0001	0.05
A86	1	0.0001	0.05
A87	1	0.0001	0.05
A88	1	0.0001	0.05
A89	1	0.0001	0.05
A90	1	0.0001	0.05
A91	1	0.0001	0.05
A92	1	0.0001	0.05
A93	1	0.0001	0.05
A94	1	0.0001	0.05
A95	1	0.0001	0.05
A96	1	0.0001	0.05
A97	1	0.0001	0.05
A98	1	0.0001	0.05
A99	1	0.0001	0.05
A100	1	0.0001	0.05
A101	1	0.0001	0.05
A102	1	0.0001	0.05
A103	1	0.0001	0.05
A104	1	0.0001	0.05
A105	1	0.0001	0.05
A106	1	0.0001	0.05
A107	1	0.0001	0.05
A108	1	0.0001	0.05
A109	1	0.0001	0.05
A110	1	0.0001	0.05
A111	1	0.0001	0.05
A112	1	0.0001	0.05
A113	1	0.0001	0.05
A114	1	0.0001	0.05
A115	1	0.0001	0.05
A116	1	0.0001	0.05
A117	1	0.0001	0.05
A118	1	0.0001	0.05
A119	1	0.0001	0.05
A120	1	0.0001	0.05
A121	1	0.0001	0.05
A122	1	0.0001	0.05
A123	1	0.0001	0.05
A124	1	0.0001	0.05
A125	1	0.0001	0.05
A126	1	0.0001	0.05
A127	1	0.0001	0.05
A128	1	0.0001	0.05
A129	1	0.0001	0.05
A130	1	0.0001	0.05
A131	1	0.0001	0.05
A132	1	0.0001	0.05
A133	1	0.0001	0.05
A134	1	0.0001	0.05
A135	1	0.0001	0.05
A136	1	0.0001	0.05
A137	1	0.0001	0.05
A138	1	0.0001	0.05
A139	1	0.0001	0.05
A140	1	0.0001	0.05
A141	1	0.0001	0.05
A142	1	0.0001	0.05
A143	1	0.0001	0.05
A144	1	0.0001	0.05
A145	1	0.0001	0.05
A146	1	0.0001	0.05
A147	1	0.0001	0.05
A148	1	0.0001	0.05
A149	1	0.0001	0.05
A150	1	0.0001	0.05
A151	1	0.0001	0.05
A152	1	0.0001	0.05
A153	1	0.0001	0.05
A154	1	0.0001	0.05
A155	1	0.0001	0.05
A156	1	0.0001	0.05
A157	1	0.0001	0.05
A158	1	0.0001	0.05
A159	1	0.0001	0.05
A160	1	0.0001	0.05
A161	1	0.0001	0.05
A162	1	0.0001	0.05
A163	1	0.0001	0.05
A164	1	0.0001	0.05
A165	1	0.0001	0.05
A166	1	0.0001	0.05
A167	1	0.0001	0.05
A168	1	0.0001	0.05
A169	1	0.0001	0.05
A170	1	0.0001	0.05
A171	1	0.0001	0.05
A172	1	0.0001	0.05
A173	1	0.0001	0.05
A174	1	0.0001	0.05
A175	1	0.0001	0.05
A176	1	0.0001	0.05
A177	1	0.0001	0.05
A178	1	0.0001	0.05
A179	1	0.0001	0.05
A180	1	0.1001	0.05
A181	1	0.1001	0.05
A182	1	0.1001	0.05
A183	1	0.1001	0.05
A184	1	0.1001	0.05
A185	1	0.1001	0.05
A186	1	0.1001	0.05
